"id";"produto";"cod";"cod25";"unid";"material";"tipo";"cme";"ordem"
"184";"TUBO ENDOTRAQUEAL Nº 9,5";"328";"2687";"0";"0";"1";"0";"58"
"185";"CONECTOR DE O2";"113";"0";"0";"0";"2";"1";NULL
"186";"VELCRO BACHAL";"418";"0";"0";"0";"2";"0";"144"
"187";"BLOCO APH";"196";"0";"0";"1";"2";"0";"180"
"188";"BLOCO CHECKLIST CONDUTOR";"201";"0";"0";"1";"1";"0";"183"
"189";"BLOCO CONTROLE DE EXPURGO";"200";"0";"0";"1";"2";"0";"184"
"190";"BLOCO ENTREGA PERTENCES";"199";"0";"0";"1";"2";"0";"185"
"191";"BLOCO RECEITUÁRIO";"198";"0";"0";"1";"2";"0";"182"
"192";"BLOCO REQUISIÇÃO MATERIAL";"197";"0";"0";"1";"2";"0";"181"
"193";"BORRACHA";"448";"0";"0";"1";"2";"0";"168"
"194";"CADERNO BROCHURÃO";"127";"0";"0";"1";"2";"0";"171"
"195";"CADERNO BROCHURÃO PEQUENO";"128";"0";"0";"1";"2";"0";"172"
"196";"CANETA ESFEROGRÁFICA AZUL";"134";"0";"0";"1";"2";"0";"169"
"197";"CANETA ESFEROGRÁFICA VERMELHA";"136";"0";"0";"1";"2";"0";"170"
"198";"CANETA PARA RETROPROJETOR";"137";"0";"0";"1";"2";"0";"177"
"199";"CANETA PARA TECIDO (CORES)";"1173";"0";"0";"1";"2";"0";"177"
"200";"CANETA AZUL PARA QUADRO BRANCO ";"140";"0";"0";"1";"2";"0";"173"
"201";"CANETA PRETA PARA QUADRO BRANCO";"141";"0";"0";"1";"2";"0";"174"
"202";"CANETA VERDE PARA QUADRO BRANCO ";"143";"0";"0";"1";"2";"0";"175"
"203";"CANETA VERMELHA PARA QUADRO BRANCO";"142";"0";"0";"1";"2";"0";"176"
"204";"COLA BASTÃO";"147";"0";"0";"1";"2";"0";"168"
"205";"CORRETIVO LÍQUIDO";"149";"0";"0";"1";"2";"0";"168"
"206";"ENVELOPE CARTA";"150";"0";"0";"1";"2";"0";"165"
"207";"ENVELOPE PARDO GRANDE";"152";"0";"0";"1";"2";"0";"165"
